name,version,direct,dependencyType,scope,source,licenseMetadata,licenseFileDetected,licenseFromFileGuess,metadataFileMatch,inProductionBundle,devToolOnly,obligations,risk,recommendedAction,repository,homepage,whereFound
"playwright","1.59.1","transitive","transitive devDependency","dev","npm","Apache-2.0","LICENSE","Apache License","mismatch-possible","no","yes","zachowanie copyright; NOTICE (je?li istnieje); patent notice","GREEN","zachowaj notice/licencje","git+https://github.com/microsoft/playwright.git","https://playwright.dev","dev"
"playwright-core","1.59.1","transitive","transitive devDependency","dev","npm","Apache-2.0","LICENSE","Apache License","mismatch-possible","no","yes","zachowanie copyright; NOTICE (je?li istnieje); patent notice","GREEN","zachowaj notice/licencje","git+https://github.com/microsoft/playwright.git","https://playwright.dev","dev"
"@testing-library/jest-dom","6.9.1","direct","devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/testing-library/jest-dom","https://github.com/testing-library/jest-dom#readme","dev"
"@adobe/css-tools","4.4.4","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/adobe/css-tools.git","","dev"
"aria-query","5.3.2","transitive","transitive devDependency","dev","npm","Apache-2.0","LICENSE","Apache License","mismatch-possible","no","yes","zachowanie copyright; NOTICE (je?li istnieje); patent notice","GREEN","zachowaj notice/licencje","git+https://github.com/A11yance/aria-query.git","https://github.com/A11yance/aria-query#readme","dev"
"css.escape","1.5.1","transitive","transitive devDependency","dev","npm","MIT","","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/mathiasbynens/CSS.escape.git","https://mths.be/cssescape","dev"
"dom-accessibility-api","0.6.3","transitive","transitive devDependency","dev","npm","MIT","LICENSE.md","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/eps1lon/dom-accessibility-api.git","","dev"
"picocolors","1.1.1","transitive","transitive devDependency","dev","npm","ISC","LICENSE","ISC License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","alexeyraspopov/picocolors","","dev"
"redent","3.0.0","transitive","transitive devDependency","dev","npm","MIT","license","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","sindresorhus/redent","","dev"
"indent-string","4.0.0","transitive","transitive devDependency","dev","npm","MIT","license","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","sindresorhus/indent-string","","dev"
"strip-indent","3.0.0","transitive","transitive devDependency","dev","npm","MIT","license","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","sindresorhus/strip-indent","","dev"
"min-indent","1.0.1","transitive","transitive devDependency","dev","npm","MIT","license","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/thejameskyle/min-indent","","dev"
"@testing-library/react","16.3.2","direct","devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/testing-library/react-testing-library","https://github.com/testing-library/react-testing-library#readme","dev"
"@babel/runtime","7.29.2","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/babel/babel.git","https://babel.dev/docs/en/next/babel-runtime","dev"
"react","19.2.4","direct","devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/facebook/react.git","https://react.dev/","dev"
"react-dom","19.2.4","direct","devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/facebook/react.git","https://react.dev/","dev"
"scheduler","0.27.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/facebook/react.git","https://react.dev/","dev"
"vitest","3.2.4","direct","devDependency","dev","npm","MIT","LICENSE.md","MIT license","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vitest-dev/vitest.git","https://github.com/vitest-dev/vitest#readme","dev"
"@vitest/pretty-format","3.2.4","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vitest-dev/vitest.git","https://github.com/vitest-dev/vitest/tree/main/packages/utils#readme","dev"
"@vitest/spy","3.2.4","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vitest-dev/vitest.git","https://github.com/vitest-dev/vitest/tree/main/packages/spy#readme","dev"
"@vitest/utils","3.2.4","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vitest-dev/vitest.git","https://github.com/vitest-dev/vitest/tree/main/packages/utils#readme","dev"
"chai","5.3.3","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/chaijs/chai","http://chaijs.com","dev"
"debug","4.4.3","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git://github.com/debug-js/debug.git","","dev"
"expect-type","1.3.0","transitive","transitive devDependency","dev","npm","Apache-2.0","LICENSE","Apache License, Version 2.0","mismatch-possible","no","yes","zachowanie copyright; NOTICE (je?li istnieje); patent notice","GREEN","zachowaj notice/licencje","https://github.com/mmkal/expect-type.git","https://github.com/mmkal/expect-type#readme","dev"
"magic-string","0.30.21","transitive","transitive devDependency","dev","npm","MIT","LICENSE","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/Rich-Harris/magic-string.git","","dev"
"pathe","2.0.3","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","unjs/pathe","","dev"
"picomatch","4.0.4","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","micromatch/picomatch","https://github.com/micromatch/picomatch","dev"
"std-env","3.10.0","transitive","transitive devDependency","dev","npm","MIT","LICENCE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","unjs/std-env","","dev"
"tinybench","2.9.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","tinylibs/tinybench","","dev"
"tinyexec","0.3.2","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/tinylibs/tinyexec.git","https://github.com/tinylibs/tinyexec#readme","dev"
"tinyglobby","0.2.15","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/SuperchupuDev/tinyglobby.git","https://superchupu.dev/tinyglobby","dev"
"tinypool","1.1.1","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/tinylibs/tinypool.git","https://github.com/tinylibs/tinypool#readme","dev"
"tinyrainbow","2.0.0","transitive","transitive devDependency","dev","npm","MIT","LICENCE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/tinylibs/tinyrainbow.git","https://github.com/tinylibs/tinyrainbow#readme","dev"
"@types/chai","5.2.3","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/DefinitelyTyped/DefinitelyTyped.git","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/chai","dev"
"@types/deep-eql","4.0.2","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/DefinitelyTyped/DefinitelyTyped.git","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/deep-eql","dev"
"assertion-error","2.0.1","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git@github.com:chaijs/assertion-error.git","","dev"
"@vitest/snapshot","3.2.4","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vitest-dev/vitest.git","https://github.com/vitest-dev/vitest/tree/main/packages/snapshot#readme","dev"
"vite-node","3.2.4","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vitest-dev/vitest.git","https://github.com/vitest-dev/vitest/blob/main/packages/vite-node#readme","dev"
"cac","6.7.14","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","egoist/cac","","dev"
"es-module-lexer","1.7.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/guybedford/es-module-lexer.git","https://github.com/guybedford/es-module-lexer#readme","dev"
"why-is-node-running","2.3.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/mafintosh/why-is-node-running.git","https://github.com/mafintosh/why-is-node-running","dev"
"siginfo","2.0.0","transitive","transitive devDependency","dev","npm","ISC","LICENSE","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/emilbayes/siginfo.git","https://github.com/emilbayes/siginfo#readme","dev"
"stackback","0.0.2","transitive","transitive devDependency","dev","npm","MIT","","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git://github.com/shtylman/node-stackback.git","","dev"
"@vitest/mocker","3.2.4","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vitest-dev/vitest.git","https://github.com/vitest-dev/vitest/tree/main/packages/mocker#readme","dev"
"estree-walker","3.0.3","transitive","transitive devDependency","dev","npm","MIT","LICENSE","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/Rich-Harris/estree-walker","","dev"
"@types/estree","1.0.8","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/DefinitelyTyped/DefinitelyTyped.git","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/estree","dev"
"@vitest/runner","3.2.4","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vitest-dev/vitest.git","https://github.com/vitest-dev/vitest/tree/main/packages/runner#readme","dev"
"strip-literal","3.1.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/antfu/strip-literal.git","https://github.com/antfu/strip-literal#readme","dev"
"js-tokens","9.0.1","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","lydell/js-tokens","","dev"
"@vitest/expect","3.2.4","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vitest-dev/vitest.git","https://github.com/vitest-dev/vitest/tree/main/packages/expect#readme","dev"
"@tailwindcss/vite","4.2.2","direct","devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/tailwindlabs/tailwindcss.git","https://tailwindcss.com","dev"
"@tailwindcss/oxide","4.2.2","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/tailwindlabs/tailwindcss.git","","dev"
"@tailwindcss/node","4.2.2","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/tailwindlabs/tailwindcss.git","https://tailwindcss.com","dev"
"jiti","2.6.1","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","unjs/jiti","","dev"
"source-map-js","1.2.1","transitive","transitive devDependency","dev","npm","BSD-3-Clause","LICENSE","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","7rulnik/source-map-js","https://github.com/7rulnik/source-map-js","dev"
"enhanced-resolve","5.20.1","transitive","transitive devDependency","dev","npm","MIT","LICENSE","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git://github.com/webpack/enhanced-resolve.git","http://github.com/webpack/enhanced-resolve","dev"
"graceful-fs","4.2.11","transitive","transitive devDependency","dev","npm","ISC","LICENSE","ISC License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/isaacs/node-graceful-fs","","dev"
"tapable","2.3.2","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","http://github.com/webpack/tapable.git","https://github.com/webpack/tapable","dev"
"lightningcss","1.32.0","transitive","transitive devDependency","dev","npm","MPL-2.0","LICENSE","Mozilla Public License","mismatch-possible","no","yes","zachowanie copyright; wymagana weryfikacja prawna","YELLOW","weryfikacja legal + notice","https://github.com/parcel-bundler/lightningcss.git","","dev"
"detect-libc","2.1.2","transitive","transitive devDependency","dev","npm","Apache-2.0","LICENSE","Apache License","mismatch-possible","no","yes","zachowanie copyright; NOTICE (je?li istnieje); patent notice","GREEN","zachowaj notice/licencje","git://github.com/lovell/detect-libc.git","","dev"
"@jridgewell/remapping","2.3.5","transitive","transitive devDependency","dev","npm","MIT","LICENSE","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/jridgewell/sourcemaps.git","https://github.com/jridgewell/sourcemaps/tree/main/packages/remapping","dev"
"@jridgewell/trace-mapping","0.3.31","transitive","transitive devDependency","dev","npm","MIT","LICENSE","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/jridgewell/sourcemaps.git","https://github.com/jridgewell/sourcemaps/tree/main/packages/trace-mapping","dev"
"@jridgewell/gen-mapping","0.3.13","transitive","transitive devDependency","dev","npm","MIT","LICENSE","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/jridgewell/sourcemaps.git","https://github.com/jridgewell/sourcemaps/tree/main/packages/gen-mapping","dev"
"@jridgewell/sourcemap-codec","1.5.5","transitive","transitive devDependency","dev","npm","MIT","LICENSE","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/jridgewell/sourcemaps.git","https://github.com/jridgewell/sourcemaps/tree/main/packages/sourcemap-codec","dev"
"cspell","10.0.0","direct","devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/streetsidesoftware/cspell.git","https://cspell.org/","dev"
"@cspell/cspell-performance-monitor","10.0.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/streetsidesoftware/cspell.git","https://github.com/streetsidesoftware/cspell/tree/main/packages/cspell-performance-monitor#readme","dev"
"@cspell/cspell-pipe","10.0.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/streetsidesoftware/cspell.git","https://github.com/streetsidesoftware/cspell/tree/main/packages/cspell-pipe#readme","dev"
"@cspell/cspell-types","10.0.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/streetsidesoftware/cspell.git","https://github.com/streetsidesoftware/cspell/tree/main/packages/cspell-types#readme","dev"
"@cspell/dynamic-import","10.0.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/streetsidesoftware/cspell.git","https://github.com/streetsidesoftware/cspell/tree/main/packages/dynamic-import#readme","dev"
"@cspell/url","10.0.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/streetsidesoftware/cspell.git","https://github.com/streetsidesoftware/cspell/tree/main/packages/cspell-url#readme","dev"
"ansi-regex","6.2.2","transitive","transitive devDependency","dev","npm","MIT","license","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","chalk/ansi-regex","","dev"
"chalk","5.6.2","transitive","transitive devDependency","dev","npm","MIT","license","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","chalk/chalk","","dev"
"commander","14.0.3","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/tj/commander.js.git","","dev"
"cspell-config-lib","10.0.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/streetsidesoftware/cspell.git","https://github.com/streetsidesoftware/cspell/tree/main/packages/cspell-config-lib#readme","dev"
"cspell-dictionary","10.0.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/streetsidesoftware/cspell.git","https://github.com/streetsidesoftware/cspell/tree/main/packages/cspell-dictionary#readme","dev"
"cspell-glob","10.0.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/streetsidesoftware/cspell.git","https://github.com/streetsidesoftware/cspell/tree/main/packages/cspell-glob#readme","dev"
"cspell-io","10.0.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/streetsidesoftware/cspell.git","https://github.com/streetsidesoftware/cspell/tree/main/packages/cspell-io#readme","dev"
"cspell-lib","10.0.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/streetsidesoftware/cspell.git","https://github.com/streetsidesoftware/cspell/tree/main/packages/cspell-lib#readme","dev"
"fast-json-stable-stringify","2.1.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT license","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git://github.com/epoberezkin/fast-json-stable-stringify.git","https://github.com/epoberezkin/fast-json-stable-stringify","dev"
"flatted","3.4.2","transitive","transitive devDependency","dev","npm","ISC","LICENSE","ISC License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/WebReflection/flatted.git","https://github.com/WebReflection/flatted#readme","dev"
"semver","7.7.4","transitive","transitive devDependency","dev","npm","ISC","LICENSE","ISC License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/npm/node-semver.git","","dev"
"@cspell/cspell-json-reporter","10.0.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/streetsidesoftware/cspell.git","https://github.com/streetsidesoftware/cspell/tree/main/packages/cspell-json-reporter#readme","dev"
"chalk-template","1.1.2","transitive","transitive devDependency","dev","npm","MIT","license","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","chalk/chalk-template","","dev"
"cspell-gitignore","10.0.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/streetsidesoftware/cspell.git","https://github.com/streetsidesoftware/cspell/tree/main/packages/cspell-gitignore#readme","dev"
"@cspell/cspell-worker","10.0.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/streetsidesoftware/cspell.git","https://github.com/streetsidesoftware/cspell/tree/main/packages/cspell-worker#readme","dev"
"@vitejs/plugin-react","4.7.0","direct","devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vitejs/vite-plugin-react.git","https://github.com/vitejs/vite-plugin-react/tree/main/packages/plugin-react#readme","dev"
"@rolldown/pluginutils","1.0.0-beta.27","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/rolldown/rolldown.git","","dev"
"react-refresh","0.17.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/facebook/react.git","https://react.dev/","dev"
"@babel/plugin-transform-react-jsx-self","7.27.1","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/babel/babel.git","https://babel.dev/docs/en/next/babel-plugin-transform-react-jsx-self","dev"
"@babel/core","7.29.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/babel/babel.git","https://babel.dev/docs/en/next/babel-core","dev"
"@babel/helper-plugin-utils","7.28.6","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/babel/babel.git","https://babel.dev/docs/en/next/babel-helper-plugin-utils","dev"
"@babel/plugin-transform-react-jsx-source","7.27.1","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/babel/babel.git","https://babel.dev/docs/en/next/babel-plugin-transform-react-jsx-source","dev"
"@types/babel__core","7.20.5","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/DefinitelyTyped/DefinitelyTyped.git","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/babel__core","dev"
"@babel/parser","7.29.2","transitive","transitive devDependency","dev","npm","MIT","LICENSE","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/babel/babel.git","https://babel.dev/docs/en/next/babel-parser","dev"
"@babel/types","7.29.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/babel/babel.git","https://babel.dev/docs/en/next/babel-types","dev"
"@types/babel__generator","7.27.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/DefinitelyTyped/DefinitelyTyped.git","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/babel__generator","dev"
"@types/babel__template","7.4.4","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/DefinitelyTyped/DefinitelyTyped.git","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/babel__template","dev"
"@types/babel__traverse","7.28.0","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/DefinitelyTyped/DefinitelyTyped.git","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/babel__traverse","dev"
"jsdom","25.0.1","direct","devDependency","dev","npm","MIT","LICENSE.txt","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/jsdom/jsdom.git","","dev"
